UNIX_time,joint_vel
1527000528.82,0.0
1527000528.84,0.000149939987995
1527000528.86,0.000161499226004
1527000528.89,0.000254880364093
1527000528.91,0.000324804556618
1527000528.93,0.000324804556618
1527000528.95,0.00026378021154
1527000528.97,0.000323080485328
1527000528.99,0.000328665483433
1527000529.01,0.000144899965494
1527000529.03,0.0001
1527000529.05,0.000123288280059
1527000529.07,0.000236879716312
1527000529.09,0.000321707942084
1527000529.11,0.00021972937901
1527000529.13,0.000142551744991
1527000529.15,0.000422506804679
1527000529.17,0.000437028603183
1527000529.19,0.000259957688865
1527000529.21,8.6e-05
1527000529.24,0.000150039994668
1527000529.26,0.00016780643611
1527000529.28,0.00021972937901
1527000529.3,0.000250786762011
1527000529.32,7.21110255094e-05
1527000529.34,0.000109183332061
1527000529.36,0.000186823446066
1527000529.38,0.000156786479009
1527000529.4,0.000124124937059
1527000529.42,0.000149939987995
1527000529.44,0.000111722871427
1527000529.46,0.000113688170009
1527000529.48,0.000240170772577
1527000529.5,0.000232555369751
1527000529.52,0.000207183493551
1527000529.55,0.000207183493551
1527000529.57,0.000208806130178
1527000529.59,0.0002
1527000529.61,0.000251948407417
1527000529.63,0.000181367031183
1527000529.65,9.1e-05
1527000529.67,5.40832691319e-05
1527000529.69,0.000245320198924
1527000529.71,0.00031
1527000529.73,0.000140989361301
1527000529.75,0.000187843019567
1527000529.77,0.000254880364093
1527000529.79,0.000122576506721
1527000529.81,0.000156786479009
1527000529.83,0.000151307633648
1527000529.85,0.000159680931861
1527000529.87,0.000102039208151
1527000529.89,0.000114087685576
1527000529.92,0.000181367031183
1527000529.94,0.00022886895814
1527000529.96,0.000111722871427
1527000529.98,0.000226927301134
1527000530.0,5.40832691321e-05
1527000530.02,0.000102039208151
1527000530.04,0.000175393842537
1527000530.06,0.000252938727758
1527000530.08,0.00031
1527000530.1,0.000314682379551
1527000530.12,0.00021
1527000530.14,0.000149939987995
1527000530.16,0.000120519707932
1527000530.18,0.000146553744408
1527000530.2,0.000192520128818
1527000530.22,0.000146553744408
1527000530.24,0.000247198300965
1527000530.27,0.000179888854574
1527000530.29,0.000326361762466
1527000530.31,0.000159680931861
1527000530.33,0.000259957688865
1527000530.35,0.000182969942887
1527000530.37,0.00022908950216
1527000530.39,0.000207183493551
1527000530.41,5.40832691321e-05
1527000530.43,0.0003
1527000530.45,0.000217706224073
1527000530.47,0.000158
1527000530.49,0.000184282391997
1527000530.51,0.000148057421293
1527000530.53,0.000101592322545
1527000530.55,0.000227861800221
1527000530.57,9.48472456111e-05
1527000530.6,0.000107703296143
1527000530.62,9.94032192638e-05
1527000530.64,0.000135207248326
1527000530.66,0.000207183493551
1527000530.68,0.000224323427221
1527000530.7,0.00031
1527000530.72,0.000328665483433
1527000530.74,0.000107703296143
1527000530.76,0.000124490963528
